department_name,youngest_dob
"Human Resources",1985-03-25
Engineering,1982-06-10
Sales,1980-09-12
Marketing,1975-05-01
Finance,1983-07-22
"Customer Support",1986-06-14
IT,1982-03-09
"Research and Development",1981-08-15
Legal,1985-04-30
Administration,1989-07-27
Operations,1984-11-21
"Public Relations",1981-02-14
Procurement,1988-03-04
Security,1979-11-17
Facilities,1982-06-25
"Product Management",1983-12-20
"Quality Assurance",1977-08-22
Training,1985-01-19
Compliance,1980-11-12
"Project Management",1991-06-22
"Business Intelligence",1984-03-08
Logistics,1988-07-15
Consulting,1983-08-27
